Preferred-job,Preferred-industry,Redo-subjects,Current-skills,Job-portals,Missing-subjects,Certification-domain,Domain,Location
Ml engineer,"IT/Software, Finance, Manufacturing","Healthcare, and agriculture ","Coding, data science",Linkedin,Managing people,Machine learning,Computer science,Mumbai
,"IT/Software, Education",yes skilling and certification,public speaking,,"ai, promt engineering",yse,Bsc CS,Mumbai
Student,IT/Software,Ai,Web development,,Trending technology,Web development,Science,Mumbai
Accountant,Finance,No change,"Data analysis ,excel/tally,",Linkedin,Ai integrated study,Nil,Commerce,Mumbai
School,"Education, Manufacturing",Travel,"Adobe, canva and Google classroom ",Linkedin,Specialization in specific field from early age,History and accontany,History,Mumbai
Ceo,"IT/Software, Healthcare, Marketing",AI,,,Practical knowledge,No,Science,Mumbai
"Lab assistant, teachers","IT/Software, Healthcare, Education, Marketing","AI, Coding software",Fluent speaking,Naukri.com LinkedIn,Psid internships,Life Science,Bsc Life Science,Mira road
Full Stack Developer,IT/Software,Blockchain,"programming, adaptability, leaner, communication ",Linkedin,"DevOps, Chip Designing",,Computer Science,Kalyan
Web developer,"IT/Software, Finance, Healthcare, Education",Hotel management,Nothing,Linkedin,No,No,Computer science,Mumbai
Athlete,"Education, ",English,No,,Research,Philosophy,B.a (English),Porto Alegre
Process trainer.,"IT/Software, Healthcare, Education",AI,,LinkedIn,Coding n computer knowledge is must,No,BBA,Pune
Hr,Renewable energy,Hr analysis,Naukri n linkedin,Li,Real time,Maybe,Mba,Nasik
-,"Healthcare, Marketing",Data science,Problem solving,-,"Data analysis , on job training ",-,Bsc Life sciences,Vasai
HR,"Finance, Education, HR",Stock market is what I would pay more attention to.,Good with Microsoft and libre,Linkdin,Stress management and problem solving,,BACHELOR'S IN MANAGEMENT STUDIES (BMS in finance),Mumbai
Data Scientist,IT/Software,"Python Coding, Machine learning and AI and Data Analysis.","Technical Skills: 
Python
Power BI
Machine Learning and Forecasting
Data Analysis
Cloud Computing (Azure) 
ETL
SQL

Soft Skills :
Effective Communication
Team Work
Analytical Thinking
Research
",LinkedIn,None that I can think of,Data Analytics,Computer Applications,Pune
Govt sector,Govt services,Sociology,Public speaking,,Missing vocational training,Political science,Arts,Prayagraj
Telecaller,"IT/Software, Finance, Healthcare, Education, Manufacturing, Marketing",Biology,"English, sales, marketing",No,Medical,No,Science,Kalyan
Customer Service executive,"Finance, Education, Accounts ",Accounts,Communication Skills,No,Application of subjects and topics that we learn during academics,No,B Com,Mumbai
Management,"Finance, Marketing",Science,**,LinkedIn,Practicals,**,Accounts,Thane
"Site Engineer, Supervisor","Manufacturing, Marketing, Construction ","Structure, Steel","AutoCAD,Canva,Microsoft Excel ",LinkedIn,Softwares that are actually used in the market,"AutoCAD,Excel,STAAD.pro",Civil,Ludhiana
Civil engineering,Construction,Structure,N.a,,Practical,No,Civil engineering,Ludhiana
Artist,Fine artist,Biology,"Management, Team leading,Painting",No,Psychology,No,Fine arts,Mumbai
Marketing,Marketing,Chemistry,Vocational,Linkedin,Training for pressure to how you can face the problem,Yes,Biology,Bhadohi
No job,Marketing,Business study,Nothing,Marketing finance,Coding,On,English medium,Bhadohi
Financial management,Finance,Finance and accounts,Nothing,No,Technical,Mscit,Bcom,Mumbai
—,Healthcare,Psychology,"Speaking skills, presentation skills",,"Research writing, case studies etc",Biology and Psychology,Bsc Biotechnology,Mumbai
Clinical,"Healthcare, Education",Finance n marketing,"Networking,Professionalism,problem solving,critical thinking",,Practical knowledge,Na,Medical,Mumbai
Trading,Trading,Economics geography and maths,Good English speaking,,"Financial management, psychology, money making, vocal skills, etc",No,Commerce,Thane
software developer,IT/Software,coding language,Logical thinking problem solving,,english speaking,no,Science,Kopargaon
Data science,IT/Software,"Coding subject like c, java, python","Coding, good communication skills",LinkedIn,Teaching core programming and they shouldn't teach more than 1 programming language in a year.,,Science/ computer science,Mumbai
Marketing,Marketing,English,Proficiency in Design Softwares,LinkedIn,"Company Environments, Job Hunting ",No,BA( Communication and Journalism,Mumbai
Back office,"Healthcare, ",English (specially grammar),MSCIT,LinkedIn,Confidence,,ECed,Mumbai
Developer / Graphic Designer,IT/Software,"AI, Data Science ",-,LinkedIn,-,-,Computer Science,Kalyan
Editor,Education,Research,Writing,Linkedln,,Coursera Courses,Master of Arts In Communication and Journalism,Mumbai
Software engineer,"IT/Software, Finance",Coding subjects,,Linkedn,Prompt engineering,,Btech engineering cse,Patia
No,"Healthcare, Education, CSR ",Skills based,Not any,,"AI, soft skills, technical ",No,Social work,Mumbai
Student,"Education, ",Not applicable,,Linkedin,Not applicable,Not applicable,Science,Mumbai
none,"IT/Software, Education, Manufacturing, Marketing",Maths,i am confident in my manner of speaking with individuals,none,soft skills,cs,computer science,Kalyan
Content Management,"Education, Marketing",Science,-,Linkedin,Management and leadership skills,Content writing and digital marketing,English Literature,Mumbai
ML Engineer,IT/Software,Language,"Full Stack Development, Machine Learning basics.",LinkedIn,AI related skills,"AI, Web Development, NVIDIA Jetson Nano",Btech in Computer Science and Engineering,Vadodara
Project management,"Healthcare, Marketing",How to make and manage money,Crm knowledge soft skills,LinkedIn,Money control and how to understand market,"Operations management, project management ",Operations management,Pune
,"Healthcare, Education",Interpersonal skills/ Psychology,Fashion design & Arts and crafts,No,How to get a job and retain it,Na,Home Science - Textiles and Fashion Technology,Mumbai
Accounts clerk,Education,Sociology,,No,Practical,No,Economic,Mumbai
Social Worker Executive,Social Work,-,"Collaboration, leadership ",Indeed,-,-,Master's Of Social Work,Navi Mumbai 
